future_h,ret_threshold,total_trades,closed_trades,win_rate,avg_hold_bars,net_pnl,max_drawdown,sharpe,signal_density,final_amount
3,5e-05,4,2,100.0%,9.5,-3.94,0.00%,N/A,1.66%,9996.06
3,0.0001,3,1,100.0%,22.0,-2.79,0.00%,N/A,1.24%,9997.21
3,0.00015,3,1,100.0%,11.0,-3.53,0.00%,N/A,1.24%,9996.47
3,0.0002,3,1,0.0%,12.0,-3.40,0.12%,N/A,1.24%,9996.60
5,5e-05,3,1,0.0%,23.0,-4.01,0.49%,N/A,1.24%,9995.99
5,0.0001,3,1,0.0%,25.0,-5.09,0.40%,N/A,1.24%,9994.91
5,0.00015,6,3,0.0%,7.7,-7.83,0.96%,N/A,2.49%,9992.17
5,0.0002,1,1,100.0%,12.0,297.44,0.00%,N/A,0.41%,10297.44
